Order,ZoneId,Lat,Lon
1,CV-F1-Zone-1,34.56331387,-111.8482064
2,CV-F1-Zone-1,34.56331387,-111.8481299
3,CV-F1-Zone-1,34.56323987,-111.8481299
4,CV-F1-Zone-1,34.56323987,-111.8482064
1,CV-F1-Zone-2,34.56324098,-111.8482077
2,CV-F1-Zone-2,34.56324098,-111.8481299
3,CV-F1-Zone-2,34.56315483,-111.8481299
4,CV-F1-Zone-2,34.56315483,-111.8482077
1,CV-F1-Zone-3,34.56315594,-111.8482064
2,CV-F1-Zone-3,34.56315594,-111.8481299
3,CV-F1-Zone-3,34.56310182,-111.8481299
4,CV-F1-Zone-3,34.56310182,-111.8482064
1,CV-F1-Zone-4,34.56310072,-111.848205
2,CV-F1-Zone-4,34.56310072,-111.8481299
3,CV-F1-Zone-4,34.56306427,-111.8481299
4,CV-F1-Zone-4,34.56306427,-111.848205
1,CV-F1-Zone-5,34.56331497,-111.8481286
2,CV-F1-Zone-5,34.56331497,-111.8480508
3,CV-F1-Zone-5,34.56324098,-111.8480508
4,CV-F1-Zone-5,34.56324098,-111.8481286
1,CV-F1-Zone-6,34.56323987,-111.8481313
2,CV-F1-Zone-6,34.56323987,-111.8480508
3,CV-F1-Zone-6,34.56315704,-111.8480508
4,CV-F1-Zone-6,34.56315704,-111.8481313
1,CV-F1-Zone-7,34.56315594,-111.8481286
2,CV-F1-Zone-7,34.56315594,-111.8480535
3,CV-F1-Zone-7,34.56310072,-111.8480535
4,CV-F1-Zone-7,34.56310072,-111.8481286
1,CV-F1-Zone-8,34.56310182,-111.8481313
2,CV-F1-Zone-8,34.56310182,-111.8480508
3,CV-F1-Zone-8,34.56305986,-111.8480508
4,CV-F1-Zone-8,34.56305986,-111.8481313
1,CV-F1-Zone-9,34.56331608,-111.8480508
2,CV-F1-Zone-9,34.56331608,-111.8479663
3,CV-F1-Zone-9,34.56324319,-111.8479663
4,CV-F1-Zone-9,34.56324319,-111.8480508
1,CV-F1-Zone-10,34.56340664,-111.8481273
2,CV-F1-Zone-10,34.56340664,-111.8479663
3,CV-F1-Zone-10,34.56331939,-111.8479663
4,CV-F1-Zone-10,34.56331939,-111.8481273
